------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      3  |      1.1475  |     0.8672  |   0.8227  |               |              1.6164  |
|          |      4  |      1.1602  |     0.8643  |   0.7771  |               |              1.9957  |
|          |      5  |      1.0771  |     0.9033  |   0.8510  |               |              2.3742  |
|          |      6  |      1.0391  |     0.9189  |   0.8897  |               |              2.7529  |
|          |      7  |      1.0195  |     0.9355  |   0.9032  |               |              3.1321  |
|          |      8  |      0.9609  |     0.9678  |   0.9188  |               |              3.5118  |
|          |      9  |      0.9556  |     0.9668  |   0.9330  |               |              3.8607  |
|          |   eval  |      0.9556  |     0.9668  |   0.9330  |       0.9410  |              4.0282  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4561  |     0.6807  |   0.7229  |               |              0.5045  |
|          |      1  |      1.2559  |     0.8174  |   0.7757  |               |              0.9171  |
|          |      2  |      1.2354  |     0.8174  |   0.8019  |               |              1.3298  |
|          |      3  |      1.1895  |     0.8369  |   0.7809  |               |              1.7094  |
|          |      4  |      1.1309  |     0.8799  |   0.8559  |               |              2.0887  |
|          |      5  |      1.1201  |     0.8818  |   0.8627  |               |              2.4679  |
|          |      6  |      1.0420  |     0.9150  |   0.8782  |               |              2.8466  |
|          |      7  |      1.0234  |     0.9365  |   0.9040  |               |              3.2258  |
|          |      8  |      0.9736  |     0.9600  |   0.9248  |               |              3.6058  |
|          |      9  |      0.9375  |     0.9756  |   0.9357  |               |              3.9547  |
|          |   eval  |      0.9375  |     0.9756  |   0.9357  |       0.9421  |              4.1228  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4385  |     0.6943  |   0.6427  |               |              0.4994  |
|          |      1  |      1.2764  |     0.8008  |   0.6929  |               |              0.9121  |
|          |      2  |      1.1816  |     0.8604  |   0.8237  |               |              1.3254  |
|          |      3  |      1.1445  |     0.8613  |   0.7239  |               |              1.7041  |
|          |      4  |      1.1289  |     0.8662  |   0.8467  |               |              2.0844  |
|          |      5  |      1.1035  |     0.8867  |   0.8017  |               |              2.4647  |
|          |      6  |      1.0381  |     0.9209  |   0.9017  |               |              2.8428  |
|          |      7  |      1.0283  |     0.9336  |   0.8789  |               |              3.2214  |
|          |      8  |      0.9575  |     0.9766  |   0.9232  |               |              3.6006  |
|          |      9  |      0.9551  |     0.9648  |   0.9339  |               |              3.9510  |
|          |   eval  |      0.9551  |     0.9648  |   0.9339  |       0.9392  |              4.1189  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4873  |     0.6631  |   0.6615  |               |              0.4163  |
|          |      1  |      1.2842  |     0.7881  |   0.7255  |               |              0.8293  |
|          |      2  |      1.2178  |     0.8232  |   0.8002  |               |              1.2435  |
|          |      3  |      1.1885  |     0.8447  |   0.8074  |               |              1.6242  |
|          |      4  |      1.1543  |     0.8574  |   0.8549  |               |              2.0042  |
|          |      5  |      1.0781  |     0.9082  |   0.8741  |               |              2.3833  |
|          |      6  |      1.0420  |     0.9287  |   0.9035  |               |              2.7620  |
|          |      7  |      1.0117  |     0.9414  |   0.9056  |               |              3.1415  |
|          |      8  |      0.9785  |     0.9600  |   0.9168  |               |              3.5216  |
|          |      9  |      0.9370  |     0.9805  |   0.9346  |               |              3.8709  |
|          |   eval  |      0.9370  |     0.9805  |   0.9346  |       0.9423  |              4.0392  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.4170  |     0.7246  |   0.6755  |               |              0.5054  |
|          |      1  |      1.2480  |     0.8086  |   0.6761  |               |              0.9177  |
|          |      2  |      1.1934  |     0.8389  |   0.8247  |               |              1.3326  |
|          |      3  |      1.1475  |     0.8594  |   0.8108  |               |              1.7135  |
|          |      4  |      1.1533  |     0.8604  |   0.8000  |               |              2.0940  |
|          |      5  |      1.0898  |     0.8955  |   0.8437  |               |              2.4728  |
|          |      6  |      1.0498  |     0.9150  |   0.8777  |               |              2.8517  |
|          |      7  |      1.0117  |     0.9395  |   0.8911  |               |              3.2319  |
|          |      8  |      0.9785  |     0.9502  |   0.9210  |               |              3.6118  |
|          |      9  |      0.9478  |     0.9746  |   0.9312  |               |              3.9603  |
|          |   eval  |      0.9478  |     0.9746  |   0.9312  |       0.9379  |              4.1284  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4502  |     0.7002  |   0.6883  |               |              0.5006  |
|          |      1  |      1.2656  |     0.7920  |   0.7450  |               |              0.9147  |
|          |      2  |      1.2031  |     0.8398  |   0.7967  |               |              1.3284  |
|          |      3  |      1.1436  |     0.8682  |   0.8298  |               |              1.7091  |
|          |      4  |      1.1494  |     0.8604  |   0.8387  |               |              2.0892  |
|          |      5  |      1.0869  |     0.8926  |   0.8346  |               |              2.4689  |
|          |      6  |      1.0518  |     0.9189  |   0.8914  |               |              2.8477  |
|          |      7  |      1.0029  |     0.9404  |   0.9013  |               |              3.2271  |
|          |      8  |      0.9736  |     0.9561  |   0.9177  |               |              3.6083  |
