Running CIFAR-10 AirBench with translate = 0
------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
------------------------------------------------------------------------------------------------------
|      10  |      0  |      1.4580  |     0.6885  |   0.6653  |               |              0.3995  |
|          |      1  |      1.2559  |     0.8076  |   0.7791  |               |              0.8003  |
|          |      2  |      1.1982  |     0.8457  |   0.7761  |               |              1.2011  |
|          |      3  |      1.1328  |     0.8740  |   0.7796  |               |              1.5763  |
|          |      4  |      1.1289  |     0.8770  |   0.8456  |               |              1.9501  |
|          |      5  |      1.0781  |     0.9072  |   0.8661  |               |              2.3246  |
|          |      6  |      0.9951  |     0.9541  |   0.9022  |               |              2.6987  |
|          |      7  |      0.9810  |     0.9668  |   0.9001  |               |              3.0729  |
|          |      8  |      0.9214  |     0.9893  |   0.9219  |               |              3.4464  |
|          |      9  |      0.9009  |     0.9971  |   0.9297  |               |              3.7909  |
|          |   eval  |      0.9009  |     0.9971  |   0.9297  |       0.9362  |              3.9594  |
------------------------------------------------------------------------------------------------------
|      11  |      0  |      1.4238  |     0.7061  |   0.7139  |               |              0.4849  |
|          |      1  |      1.2393  |     0.8125  |   0.7332  |               |              0.8847  |
|          |      2  |      1.2119  |     0.8340  |   0.6613  |               |              1.2846  |
|          |      3  |      1.1318  |     0.8779  |   0.8403  |               |              1.6591  |
|          |      4  |      1.0908  |     0.9004  |   0.8684  |               |              2.0335  |
|          |      5  |      1.0781  |     0.8975  |   0.8704  |               |              2.4075  |
|          |      6  |      1.0107  |     0.9434  |   0.8898  |               |              2.7816  |
|          |      7  |      0.9927  |     0.9473  |   0.8917  |               |              3.1566  |
|          |      8  |      0.9229  |     0.9902  |   0.9188  |               |              3.5308  |
|          |      9  |      0.9004  |     0.9951  |   0.9256  |               |              3.8745  |
|          |   eval  |      0.9004  |     0.9951  |   0.9256  |       0.9346  |              4.0428  |
------------------------------------------------------------------------------------------------------
|      12  |      0  |      1.4268  |     0.7109  |   0.6842  |               |              0.4711  |
|          |      1  |      1.2295  |     0.8223  |   0.7930  |               |              0.8708  |
|          |      2  |      1.1982  |     0.8320  |   0.7696  |               |              1.2725  |
|          |      3  |      1.1309  |     0.8779  |   0.8014  |               |              1.6476  |
|          |      4  |      1.1162  |     0.8711  |   0.8263  |               |              2.0216  |
|          |      5  |      1.0859  |     0.9033  |   0.8404  |               |              2.3957  |
|          |      6  |      1.0381  |     0.9209  |   0.8961  |               |              2.7701  |
|          |      7  |      0.9775  |     0.9580  |   0.9001  |               |              3.1445  |
|          |      8  |      0.9175  |     0.9961  |   0.9228  |               |              3.5185  |
|          |      9  |      0.8965  |     0.9980  |   0.9294  |               |              3.8626  |
|          |   eval  |      0.8965  |     0.9980  |   0.9294  |       0.9354  |              4.0311  |
------------------------------------------------------------------------------------------------------
|      13  |      0  |      1.4287  |     0.7080  |   0.6144  |               |              0.4874  |
|          |      1  |      1.2490  |     0.8135  |   0.7166  |               |              0.8876  |
|          |      2  |      1.1875  |     0.8408  |   0.8128  |               |              1.2873  |
|          |      3  |      1.1416  |     0.8701  |   0.7887  |               |              1.6615  |
|          |      4  |      1.1055  |     0.8828  |   0.8557  |               |              2.0374  |
|          |      5  |      1.0762  |     0.9014  |   0.8423  |               |              2.4122  |
|          |      6  |      1.0166  |     0.9404  |   0.8945  |               |              2.7863  |
|          |      7  |      0.9805  |     0.9570  |   0.9013  |               |              3.1611  |
|          |      8  |      0.9360  |     0.9766  |   0.9200  |               |              3.5351  |
|          |      9  |      0.8994  |     0.9961  |   0.9260  |               |              3.8790  |
|          |   eval  |      0.8994  |     0.9961  |   0.9260  |       0.9360  |              4.0471  |
------------------------------------------------------------------------------------------------------
|      14  |      0  |      1.4502  |     0.6865  |   0.6803  |               |              0.4008  |
|          |      1  |      1.2666  |     0.7959  |   0.7360  |               |              0.8006  |
|          |      2  |      1.1855  |     0.8418  |   0.8034  |               |              1.2000  |
|          |      3  |      1.1289  |     0.8760  |   0.8318  |               |              1.5752  |
|          |      4  |      1.0898  |     0.8955  |   0.8186  |               |              1.9493  |
|          |      5  |      1.0801  |     0.8955  |   0.8298  |               |              2.3239  |
|          |      6  |      1.0088  |     0.9434  |   0.8887  |               |              2.6983  |
|          |      7  |      0.9868  |     0.9580  |   0.8947  |               |              3.0732  |
|          |      8  |      0.9307  |     0.9805  |   0.9198  |               |              3.4476  |
|          |      9  |      0.8994  |     0.9951  |   0.9297  |               |              3.7918  |
|          |   eval  |      0.8994  |     0.9951  |   0.9297  |       0.9363  |              3.9609  |
------------------------------------------------------------------------------------------------------
|      15  |      0  |      1.3857  |     0.7354  |   0.6920  |               |              0.3988  |
|          |      1  |      1.2354  |     0.8174  |   0.7771  |               |              0.7982  |
|          |      2  |      1.1943  |     0.8369  |   0.8047  |               |              1.1993  |
|          |      3  |      1.1211  |     0.8848  |   0.8091  |               |              1.5743  |
|          |      4  |      1.1143  |     0.8818  |   0.8420  |               |              1.9487  |
|          |      5  |      1.0557  |     0.9102  |   0.8722  |               |              2.3236  |
|          |      6  |      1.0186  |     0.9277  |   0.8830  |               |              2.6982  |
|          |      7  |      0.9893  |     0.9492  |   0.8919  |               |              3.0726  |
|          |      8  |      0.9243  |     0.9854  |   0.9224  |               |              3.4473  |
|          |      9  |      0.9014  |     0.9951  |   0.9257  |               |              3.7917  |
|          |   eval  |      0.9014  |     0.9951  |   0.9257  |       0.9369  |              3.9608  |
------------------------------------------------------------------------------------------------------
|      16  |      0  |      1.4014  |     0.7188  |   0.6423  |               |              0.4901  |
|          |      1  |      1.2607  |     0.8174  |   0.7647  |               |              0.8893  |
|          |      2  |      1.1934  |     0.8340  |   0.6920  |               |              1.2895  |
|          |      3  |      1.1025  |     0.8867  |   0.8300  |               |              1.6664  |
|          |      4  |      1.1221  |     0.8760  |   0.8430  |               |              2.0408  |
|          |      5  |      1.0547  |     0.9258  |   0.8649  |               |              2.4172  |
|          |      6  |      1.0137  |     0.9355  |   0.8984  |               |              2.7924  |
|          |      7  |      0.9707  |     0.9648  |   0.9037  |               |              3.1667  |
|          |      8  |      0.9209  |     0.9902  |   0.9212  |               |              3.5426  |
|          |      9  |      0.8999  |     0.9951  |   0.9272  |               |              3.8882  |
|          |   eval  |      0.8999  |     0.9951  |   0.9272  |       0.9372  |              4.0562  |
------------------------------------------------------------------------------------------------------
|      17  |      0  |      1.3916  |     0.7266  |   0.6834  |               |              0.3998  |
|          |      1  |      1.2412  |     0.8252  |   0.7961  |               |              0.8001  |
|          |      2  |      1.1738  |     0.8496  |   0.8025  |               |              1.2001  |
|          |      3  |      1.1855  |     0.8428  |   0.6527  |               |              1.5747  |
|          |      4  |      1.1123  |     0.8730  |   0.7775  |               |              1.9485  |
|          |      5  |      1.0566  |     0.9131  |   0.8607  |               |              2.3237  |
|          |      6  |      1.0225  |     0.9346  |   0.8843  |               |              2.6981  |
|          |      7  |      0.9810  |     0.9600  |   0.8963  |               |              3.0727  |
|          |      8  |      0.9268  |     0.9854  |   0.9209  |               |              3.4477  |
|          |      9  |      0.9014  |     0.9961  |   0.9288  |               |              3.7919  |
|          |   eval  |      0.9014  |     0.9961  |   0.9288  |       0.9349  |              3.9602  |
------------------------------------------------------------------------------------------------------
|      18  |      0  |      1.4385  |     0.6885  |   0.6506  |               |              0.3994  |
|          |      1  |      1.2549  |     0.8066  |   0.6628  |               |              0.7990  |
|          |      2  |      1.1836  |     0.8574  |   0.7215  |               |              1.2000  |
|          |      3  |      1.1416  |     0.8779  |   0.8235  |               |              1.5746  |
|          |      4  |      1.1025  |     0.9004  |   0.8554  |               |              1.9492  |
|          |      5  |      1.0781  |     0.8975  |   0.8335  |               |              2.3242  |
|          |      6  |      1.0146  |     0.9346  |   0.8995  |               |              2.6984  |
|          |      7  |      0.9648  |     0.9697  |   0.9067  |               |              3.0735  |
|          |      8  |      0.9243  |     0.9873  |   0.9233  |               |              3.4475  |
|          |      9  |      0.9028  |     0.9951  |   0.9286  |               |              3.7918  |
|          |   eval  |      0.9028  |     0.9951  |   0.9286  |       0.9359  |              3.9610  |
------------------------------------------------------------------------------------------------------
|      19  |      0  |      1.4062  |     0.7197  |   0.6806  |               |              0.4862  |
|          |      1  |      1.2559  |     0.8086  |   0.7039  |               |              0.8861  |
|          |      2  |      1.1934  |     0.8408  |   0.7848  |               |              1.2857  |
|          |      3  |      1.1592  |     0.8525  |   0.8562  |               |              1.6603  |
|          |      4  |      1.1045  |     0.8799  |   0.8412  |               |              2.0348  |
|          |      5  |      1.0713  |     0.9033  |   0.8651  |               |              2.4092  |
|          |      6  |      1.0371  |     0.9268  |   0.8576  |               |              2.7835  |
|          |      7  |      0.9883  |     0.9541  |   0.8943  |               |              3.1586  |
|          |      8  |      0.9204  |     0.9902  |   0.9225  |               |              3.5334  |
|          |      9  |      0.8989  |     0.9961  |   0.9266  |               |              3.8779  |
|          |   eval  |      0.8989  |     0.9961  |   0.9266  |       0.9365  |              4.0461  |
------------------------------------------------------------------------------------------------------
|      20  |      0  |      1.4043  |     0.7285  |   0.7105  |               |              0.4891  |
|          |      1  |      1.2480  |     0.8184  |   0.7561  |               |              0.8905  |
|          |      2  |      1.2041  |     0.8506  |   0.7780  |               |              1.2900  |
|          |      3  |      1.1357  |     0.8711  |   0.8125  |               |              1.6653  |
|          |      4  |      1.1045  |     0.8867  |   0.8611  |               |              2.0390  |
|          |      5  |      1.0664  |     0.9111  |   0.8416  |               |              2.4136  |
|          |      6  |      1.0117  |     0.9365  |   0.8943  |               |              2.7882  |
|          |      7  |      0.9937  |     0.9443  |   0.9042  |               |              3.1628  |
|          |      8  |      0.9204  |     0.9922  |   0.9229  |               |              3.5369  |
|          |      9  |      0.8960  |     0.9961  |   0.9297  |               |              3.8809  |
|          |   eval  |      0.8960  |     0.9961  |   0.9297  |       0.9375  |              4.0503  |
------------------------------------------------------------------------------------------------------
|      21  |      0  |      1.4199  |     0.7041  |   0.6521  |               |              0.4912  |
|          |      1  |      1.2852  |     0.7871  |   0.6560  |               |              0.8914  |
|          |      2  |      1.1426  |     0.8828  |   0.7662  |               |              1.2920  |
|          |      3  |      1.1533  |     0.8613  |   0.7288  |               |              1.6668  |
|          |      4  |      1.1221  |     0.8809  |   0.8658  |               |              2.0411  |
|          |      5  |      1.0732  |     0.8955  |   0.8628  |               |              2.4158  |
|          |      6  |      1.0107  |     0.9434  |   0.8995  |               |              2.7902  |
|          |      7  |      0.9873  |     0.9541  |   0.9014  |               |              3.1645  |
|          |      8  |      0.9277  |     0.9834  |   0.9227  |               |              3.5386  |
|          |      9  |      0.8970  |     0.9990  |   0.9298  |               |              3.8825  |
|          |   eval  |      0.8970  |     0.9990  |   0.9298  |       0.9392  |              4.0512  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4053  |     0.7314  |   0.6715  |               |              0.3998  |
|          |      1  |      1.2373  |     0.8135  |   0.7064  |               |              0.7997  |
|          |      2  |      1.1768  |     0.8604  |   0.8036  |               |              1.2005  |
|          |      3  |      1.1201  |     0.8828  |   0.8553  |               |              1.5751  |
|          |      4  |      1.1182  |     0.8711  |   0.8645  |               |              1.9492  |
|          |      5  |      1.0654  |     0.9121  |   0.8632  |               |              2.3243  |
|          |      6  |      1.0068  |     0.9463  |   0.8825  |               |              2.6989  |
|          |      7  |      0.9854  |     0.9619  |   0.8967  |               |              3.0736  |
|          |      8  |      0.9185  |     0.9893  |   0.9191  |               |              3.4480  |
|          |      9  |      0.8994  |     0.9980  |   0.9262  |               |              3.7928  |
|          |   eval  |      0.8994  |     0.9980  |   0.9262  |       0.9353  |              3.9609  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4365  |     0.6914  |   0.6593  |               |              0.4863  |
|          |      1  |      1.2676  |     0.7988  |   0.7536  |               |              0.8870  |
|          |      2  |      1.1631  |     0.8623  |   0.7593  |               |              1.2871  |
|          |      3  |      1.1611  |     0.8467  |   0.8391  |               |              1.6628  |
|          |      4  |      1.1367  |     0.8721  |   0.8429  |               |              2.0378  |
|          |      5  |      1.0605  |     0.9072  |   0.8682  |               |              2.4127  |
|          |      6  |      1.0264  |     0.9307  |   0.8871  |               |              2.7879  |
|          |      7  |      0.9863  |     0.9404  |   0.8926  |               |              3.1629  |
|          |      8  |      0.9243  |     0.9873  |   0.9211  |               |              3.5373  |
|          |      9  |      0.8984  |     0.9971  |   0.9288  |               |              3.8814  |
|          |   eval  |      0.8984  |     0.9971  |   0.9288  |       0.9369  |              4.0514  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4238  |     0.7129  |   0.6915  |               |              0.4002  |
|          |      1  |      1.2441  |     0.8115  |   0.7349  |               |              0.8014  |
|          |      2  |      1.1992  |     0.8291  |   0.7611  |               |              1.2014  |
|          |      3  |      1.1211  |     0.8691  |   0.8283  |               |              1.5763  |
|          |      4  |      1.1045  |     0.8857  |   0.8596  |               |              1.9512  |
|          |      5  |      1.0791  |     0.8984  |   0.8585  |               |              2.3266  |
|          |      6  |      0.9966  |     0.9590  |   0.8754  |               |              2.7005  |
|          |      7  |      0.9834  |     0.9629  |   0.9019  |               |              3.0759  |
|          |      8  |      0.9199  |     0.9893  |   0.9203  |               |              3.4507  |
|          |      9  |      0.9043  |     0.9941  |   0.9261  |               |              3.7950  |
|          |   eval  |      0.9043  |     0.9941  |   0.9261  |       0.9353  |              3.9642  |
------------------------------------------------------------------------------------------------------
Mean: 0.9363    Std: 0.0011
/workspace/ese-3060-finalproject/logs/130700e2-7982-498e-918d-04a4cd5c0f86/log.pt
